time_s,Thumb
6.0460,-1.00000
6.0630,-1.00000
6.0790,-1.00000
6.0960,-1.00000
6.1120,-1.00000
6.1290,-1.00000
6.1450,-1.00000
6.1620,-1.00000
6.1780,-1.00000
6.1940,-1.00000
6.2110,-1.00000
6.2280,-1.00000
6.2440,-1.00000
6.2600,-1.00000
6.2770,-1.00000
6.2930,-1.00000
6.3090,-1.00000
6.3250,-1.00000
6.3420,-1.00000
6.3590,-1.00000
6.3750,-1.00000
6.3930,-1.00000
6.4090,-1.00000
6.4260,-1.00000
6.4430,-1.00000
6.4600,-1.00000
6.4760,-1.00000
6.4940,-1.00000
6.5100,-1.00000
6.5260,-1.00000
6.5420,-1.00000
6.5590,-1.00000
6.5760,-1.00000
6.5930,-1.00000
6.6090,-1.00000
6.6260,-1.00000
6.6420,-1.00000
6.6580,-1.00000
6.6750,-1.00000
6.6920,-1.00000
6.7080,-1.00000
6.7250,-1.00000
6.7420,-1.00000
6.7590,-1.00000
6.7750,-1.00000
6.7920,-1.00000
6.8080,-1.00000
6.8250,-1.00000
6.8410,-1.00000
6.8580,-1.00000
6.8750,-1.00000
6.8920,-1.00000
6.9090,-1.00000
6.9260,-1.00000
6.9430,-1.00000
6.9590,-1.00000
6.9760,-1.00000
6.9930,-1.00000
7.0100,-1.00000
7.0260,-1.00000
7.0420,-1.00000
7.0580,-1.00000
7.0740,-1.00000
7.0920,-1.00000
7.1090,-1.00000
7.1260,-1.00000
7.1430,-1.00000
7.1600,-1.00000
7.1770,-1.00000
7.1940,-1.00000
7.2100,-1.00000
7.2270,-1.00000
7.2430,-1.00000
7.2590,-1.00000
7.2750,-1.00000
7.2910,-1.00000
7.3080,-1.00000
7.3260,-1.00000
7.3430,-1.00000
7.3600,-1.00000
7.3770,-1.00000
7.3940,-1.00000
7.4110,-1.00000
7.4280,-1.00000
7.4450,-1.00000
7.4610,-1.00000
7.4780,-1.00000
7.4950,-1.00000
7.5110,-1.00000
7.5270,-1.00000
7.5450,-1.00000
7.5610,-1.00000
7.5780,-1.00000
7.5940,-1.00000
7.6100,-1.00000
7.6280,-1.00000
7.6450,-1.00000
7.6620,-1.00000
7.6780,-1.00000
7.6940,-1.00000
7.7100,-1.00000
7.7270,-1.00000
7.7440,-1.00000
7.7600,-1.00000
7.7760,-1.00000
7.7930,-1.00000
7.8100,-1.00000
7.8270,-1.00000
7.8430,-1.00000
7.8600,-1.00000
7.8760,-1.00000
7.8930,-1.00000
7.9100,-1.00000
7.9260,-1.00000
7.9420,-1.00000
7.9580,-1.00000
7.9750,-1.00000
7.9910,-1.00000
8.0080,-1.00000
8.0250,-1.00000
8.0430,-1.00000
8.0600,-1.00000
8.0760,-1.00000
8.0930,-1.00000
8.1100,-1.00000
8.1260,-1.00000
8.1430,-1.00000
8.1600,-1.00000
8.1770,-1.00000
8.1930,-1.00000
8.2120,-1.00000
8.2290,-1.00000
8.2460,-1.00000
8.2620,-1.00000
8.2790,-1.00000
8.2950,-1.00000
8.3130,-1.00000
8.3300,-1.00000
8.3470,-1.00000
8.3630,-1.00000
8.3800,-1.00000
8.3960,-1.00000
8.4130,-1.00000
8.4300,-1.00000
8.4470,-1.00000
8.4640,-1.00000
8.4810,-1.00000
8.4970,-1.00000
8.5140,-1.00000
8.5300,-1.00000
8.5460,-1.00000
8.5630,-1.00000
8.5800,-1.00000
8.5970,-1.00000
8.6130,-1.00000
8.6290,-1.00000
8.6450,-1.00000
8.6620,-1.00000
8.6790,-1.00000
8.6950,-1.00000
8.7120,-1.00000
8.7280,-1.00000
8.7450,-1.00000
8.7620,-1.00000
8.7780,-1.00000
8.7950,-1.00000
8.8110,-1.00000
8.8270,-1.00000
8.8430,-1.00000
8.8600,-1.00000
8.8770,-1.00000
8.8930,-1.00000
8.9100,-1.00000
8.9260,-1.00000
8.9420,-1.00000
8.9580,-1.00000
8.9760,-1.00000
8.9930,-1.00000
9.0090,-1.00000
9.0260,-1.00000
9.0430,-1.00000
9.0600,-1.00000
9.0770,-1.00000
9.0930,-1.00000
9.1090,-1.00000
9.1260,-1.00000
9.1430,-1.00000
9.1600,-1.00000
9.1770,-1.00000
9.1930,-1.00000
9.2100,-1.00000
9.2270,-1.00000
9.2450,-1.00000
9.2610,-1.00000
9.2780,-1.00000
9.2950,-1.00000
9.3120,-1.00000
9.3280,-1.00000
9.3440,-1.00000
9.3600,-1.00000
9.3760,-1.00000
9.3930,-1.00000
9.4090,-1.00000
9.4250,-1.00000
9.4430,-1.00000
9.4610,-1.00000
9.4770,-1.00000
9.4930,-1.00000
9.5100,-1.00000
9.5270,-1.00000
9.5440,-1.00000
9.5600,-1.00000
9.5760,-1.00000
9.5920,-1.00000
9.6080,-1.00000
9.6250,-1.00000
9.6420,-1.00000
9.6590,-1.00000
9.6750,-1.00000
9.6930,-1.00000
9.7100,-1.00000
9.7270,-1.00000
9.7440,-1.00000
9.7600,-1.00000
9.7770,-1.00000
9.7940,-1.00000
9.8110,-1.00000
9.8270,-1.00000
9.8430,-1.00000
9.8590,-1.00000
9.8750,-1.00000
9.8920,-1.00000
9.9090,-1.00000
9.9250,-1.00000
9.9420,-1.00000
9.9580,-1.00000
9.9740,-1.00000
9.9910,-1.00000
10.0070,-1.00000
10.0230,-1.00000
10.0400,-1.00000
10.0580,-1.00000
10.0750,-1.00000
10.0920,-1.00000
10.1080,-1.00000
10.1240,-1.00000
10.1400,-1.00000
10.1560,-1.00000
10.1730,-1.00000
10.1900,-1.00000
10.2070,-1.00000
10.2230,-1.00000
10.2400,-1.00000
10.2570,-1.00000
10.2730,-1.00000
10.2900,-1.00000
10.3060,-1.00000
10.3220,-1.00000
10.3380,-1.00000
10.3540,-1.00000
10.3700,-1.00000
10.3870,-1.00000
10.4030,-1.00000
10.4190,-1.00000
10.4350,-1.00000
10.4510,-1.00000
10.4680,-1.00000
10.4850,-1.00000
10.5010,-1.00000
10.5180,-1.00000
10.5350,-1.00000
10.5520,-1.00000
10.5690,-1.00000
10.5860,-1.00000
10.6020,-1.00000
10.6180,-1.00000
10.6350,-1.00000
10.6510,-1.00000
10.6670,-1.00000
10.6840,-1.00000
10.7010,-1.00000
10.7180,-1.00000
10.7350,-1.00000
10.7520,-1.00000
10.7690,-1.00000
10.7860,-1.00000
10.8020,-1.00000
10.8180,-1.00000
10.8360,-1.00000
10.8530,-1.00000
10.8700,-1.00000
10.8870,-1.00000
10.9030,-1.00000
10.9190,-1.00000
10.9350,-1.00000
10.9520,-1.00000
10.9680,-1.00000
10.9860,-1.00000
11.0040,-1.00000
11.0200,-1.00000
11.0370,-1.00000
