#,Thumb,Index,Middle,Ring,Pinky
calib_closed,166786.55,645400.19,210874.66,159935.43,246920.50
calib_half,168166.05,536475.05,195054.10,150579.83,220416.28
calib_open,165513.87,491235.01,179621.84,142322.23,195716.00
calib_span,1272.68,154165.18,31252.82,17613.20,51204.50

time_s,Thumb,Index,Middle,Ring,Pinky,ch15,ch16,ch17
7.5360,1.00000,1.00000,1.00000,1.00000,0.41376,0.28790,-0.15270,-0.89670
7.5530,1.00000,1.00000,1.00000,1.00000,0.41376,0.28790,-0.15270,-0.89670
7.5700,1.00000,1.00000,1.00000,1.00000,0.41313,0.27400,-0.18670,-0.89720
7.5860,1.00000,1.00000,1.00000,1.00000,0.41313,0.27400,-0.18670,-0.89720
7.6030,1.00000,1.00000,1.00000,1.00000,0.41313,0.27400,-0.18670,-0.89720
7.6200,1.00000,1.00000,1.00000,1.00000,0.41249,0.28230,-0.19130,-0.91570
7.6370,1.00000,1.00000,1.00000,1.00000,0.41249,0.29060,-0.16350,-0.91300
7.6530,1.00000,1.00000,1.00000,1.00000,0.41249,0.29060,-0.16350,-0.91300
7.6700,1.00000,1.00000,1.00000,1.00000,0.41249,0.29060,-0.16350,-0.91300
7.6870,1.00000,1.00000,1.00000,1.00000,0.41249,0.29620,-0.16130,-0.92060
7.7040,1.00000,1.00000,1.00000,1.00000,0.41249,0.29620,-0.16130,-0.92060
7.7210,1.00000,1.00000,1.00000,1.00000,0.41249,0.29620,-0.16130,-0.92060
7.7370,1.00000,1.00000,1.00000,1.00000,0.41249,0.28210,-0.19840,-0.93230
7.7540,1.00000,1.00000,1.00000,1.00000,0.41439,0.28350,-0.14620,-0.89990
7.7700,1.00000,1.00000,1.00000,1.00000,0.41471,0.28210,-0.21720,-0.92920
7.7870,1.00000,1.00000,1.00000,1.00000,0.41471,0.28210,-0.21720,-0.92920
7.8040,1.00000,1.00000,1.00000,1.00000,0.42370,0.28040,-0.16910,-0.91260
7.8200,1.00000,1.00000,1.00000,1.00000,0.42370,0.28040,-0.16910,-0.91260
7.8370,1.00000,1.00000,1.00000,1.00000,0.42370,0.28040,-0.16910,-0.91260
7.8540,1.00000,1.00000,1.00000,1.00000,0.42370,0.28040,-0.16910,-0.91260
7.8710,1.00000,1.00000,1.00000,1.00000,0.42211,0.28080,-0.21010,-0.91570
7.8880,1.00000,1.00000,1.00000,1.00000,0.42211,0.28080,-0.21010,-0.91570
7.9050,1.00000,1.00000,1.00000,1.00000,0.42211,0.28080,-0.21010,-0.91570
7.9220,1.00000,1.00000,1.00000,1.00000,0.42211,0.27670,-0.17320,-0.91620
7.9400,1.00000,1.00000,1.00000,1.00000,0.42211,0.27670,-0.17320,-0.91620
7.9570,1.00000,1.00000,1.00000,1.00000,0.42211,0.27670,-0.17320,-0.91620
7.9730,1.00000,1.00000,1.00000,1.00000,0.42211,0.27670,-0.17320,-0.91620
7.9900,1.00000,1.00000,1.00000,1.00000,0.42559,0.28380,-0.17980,-0.91400
8.0070,1.00000,1.00000,1.00000,1.00000,0.42559,0.28380,-0.17980,-0.91400
8.0230,1.00000,1.00000,1.00000,1.00000,0.42559,0.28380,-0.17980,-0.91400
8.0400,1.00000,1.00000,1.00000,1.00000,0.42274,0.27080,-0.16910,-0.93110
8.0570,1.00000,1.00000,1.00000,1.00000,0.42179,0.26620,-0.18910,-0.92940
8.0740,1.00000,1.00000,1.00000,1.00000,0.42179,0.26620,-0.18910,-0.92940
8.0910,1.00000,1.00000,1.00000,1.00000,0.42179,0.26620,-0.18910,-0.92940
8.1070,1.00000,1.00000,1.00000,1.00000,0.41217,0.29350,-0.14100,-0.92480
8.1230,1.00000,1.00000,1.00000,1.00000,0.41217,0.29350,-0.14100,-0.92480
8.1400,1.00000,1.00000,1.00000,1.00000,0.41217,0.29350,-0.14100,-0.92480
8.1570,1.00000,1.00000,1.00000,1.00000,0.41376,0.29210,-0.19080,-0.92500
8.1730,1.00000,1.00000,1.00000,1.00000,0.41439,0.27860,-0.19350,-0.92210
8.1900,1.00000,1.00000,1.00000,1.00000,0.41439,0.27860,-0.19350,-0.92210
