#,Thumb,Index,Middle,Ring,Pinky,ch15,ch16,ch17
3.4050,-1.00000,0.95541,0.00000,0.87397,1.00000,0.22670,0.24690,-0.91790
3.4220,-1.00000,0.95264,0.00000,0.88294,1.00000,0.22640,0.24330,-0.91870
3.4380,-1.00000,0.95264,0.00000,0.88294,1.00000,0.22640,0.24330,-0.91870
3.4540,-1.00000,0.95264,0.00000,0.88294,1.00000,0.22640,0.24330,-0.91870
3.4700,-1.00000,0.95541,0.00000,0.89960,1.00000,0.22690,0.23840,-0.91940
3.4860,-1.00000,0.96063,0.00000,0.90091,1.00000,0.22550,0.23620,-0.92310
3.5020,-1.00000,0.96063,0.00000,0.90091,1.00000,0.22550,0.23620,-0.92310
3.5180,-1.00000,0.96063,0.00000,0.90091,1.00000,0.22550,0.23620,-0.92310
3.5340,-1.00000,0.96063,0.00000,0.89322,1.00000,0.22740,0.23840,-0.91500
3.5510,-1.00000,0.96063,0.00000,0.89322,1.00000,0.22740,0.23840,-0.91500
3.5670,-1.00000,0.96063,0.00000,0.89322,1.00000,0.22740,0.23840,-0.91500
3.5830,-1.00000,0.96063,0.00000,0.89322,1.00000,0.22740,0.23840,-0.91500
3.5990,-1.00000,0.95081,0.00000,0.89771,1.00000,0.05250,0.18690,-0.59680
3.6150,-1.00000,0.95081,0.00000,0.89771,1.00000,0.05250,0.18690,-0.59680
3.6320,-1.00000,0.95081,0.00000,0.89771,1.00000,0.05250,0.18690,-0.59680
3.6480,-1.00000,0.95418,-0.37653,0.91438,1.00000,0.29520,0.32090,-1.04720
3.6640,-1.00000,0.95080,-0.37248,0.91503,1.00000,0.21590,0.27820,-0.99500
3.6810,-1.00000,0.95080,-0.37248,0.91503,1.00000,0.21590,0.27820,-0.99500
3.6970,-1.00000,0.95080,-0.37248,0.91503,1.00000,0.21590,0.27820,-0.99500
3.7140,-1.00000,0.95203,-0.43381,0.90289,1.00000,0.23910,0.28400,-0.93090
3.7310,-1.00000,0.94989,-0.45011,0.89392,1.00000,0.23400,0.24300,-0.93330
3.7470,-1.00000,0.94989,-0.45011,0.89392,1.00000,0.23400,0.24300,-0.93330
3.7640,-1.00000,0.94989,-0.45011,0.89392,1.00000,0.23400,0.24300,-0.93330
3.7810,-1.00000,0.94927,-0.35418,0.89648,1.00000,0.21790,0.26720,-0.91960
3.7980,-1.00000,0.94927,-0.35418,0.89648,1.00000,0.21790,0.26720,-0.91960
3.8150,-1.00000,0.94927,-0.35418,0.89648,1.00000,0.21790,0.26720,-0.91960
3.8320,-1.00000,0.95082,-0.25204,0.91383,1.00000,0.22500,0.25010,-0.91720
3.8480,-1.00000,0.94989,-0.22740,0.91706,1.00000,0.22420,0.24080,-0.92180
3.8640,-1.00000,0.94989,-0.22740,0.91706,1.00000,0.22420,0.24080,-0.92180
3.8800,-1.00000,0.94989,-0.22740,0.91706,1.00000,0.22420,0.24080,-0.92180
3.8960,0.00883,0.94713,-0.20343,0.91837,1.00000,0.22520,0.24640,-0.91620
