time_s,Thumb
4.7040,-0.44054
4.7200,-0.44054
4.7360,-0.44054
4.7520,-0.44054
4.7690,-0.44054
4.7860,-0.44054
4.8030,-0.44054
4.8190,-0.44054
4.8360,-0.44054
4.8530,-0.44054
4.8700,-0.44054
4.8870,-0.44054
4.9030,-0.44054
4.9200,-0.44054
4.9370,-0.44054
4.9540,-0.44054
4.9710,-0.44054
4.9880,-0.44054
5.0040,-0.44054
5.0220,-0.44054
5.0390,-0.44054
5.0560,-0.44054
5.0730,-0.44054
5.0900,-0.44054
5.1060,-0.44054
5.1230,-0.44054
5.1400,-0.44054
5.1570,-0.44054
5.1740,-0.44054
5.1920,-0.44054
5.2090,-0.44054
5.2250,-0.44054
5.2420,-0.44054
5.2580,-0.44054
5.2750,-0.44054
5.2920,-0.44054
5.3090,-0.44054
5.3260,-0.44054
5.3430,-0.44054
5.3600,-0.44054
5.3770,-0.44054
5.3940,-0.44054
5.4110,-0.44054
5.4280,-0.44054
5.4440,-0.44054
5.4600,-0.44054
5.4770,-0.44054
5.4940,-0.44054
5.5100,-0.44054
5.5260,-0.44054
5.5420,-0.44054
5.5580,-0.44054
5.5740,-0.44054
5.5900,-0.44054
5.6060,-0.44054
5.6220,-0.44054
5.6390,-0.44054
5.6560,-0.44054
5.6730,-0.44054
5.6910,-0.44054
5.7070,-0.44054
5.7230,-0.44054
5.7390,-0.44054
5.7560,-0.44054
5.7730,-0.44054
5.7900,-0.44054
5.8060,-0.44054
5.8220,-0.44054
5.8380,-0.44054
5.8550,-0.44054
5.8720,-0.44054
5.8880,-0.44054
5.9050,-0.44054
5.9220,-0.44054
5.9380,-0.44054
5.9550,-0.44054
5.9720,-0.44054
5.9890,-0.44054
6.0060,-0.44054
6.0230,-0.44054
6.0390,-0.44054
6.0560,-0.44054
6.0720,-0.44054
6.0880,-0.44054
6.1050,-0.44054
6.1210,-0.44054
6.1390,-0.44054
6.1560,-0.44054
6.1730,-0.44054
6.1900,-0.44054
6.2070,-0.44054
6.2240,-0.44054
6.2420,-0.44054
6.2580,-0.44054
6.2750,-0.44054
6.2910,-0.44054
6.3070,-0.44054
6.3240,-0.44054
6.3410,-0.44054
6.3570,-0.44054
6.3740,-0.44054
6.3910,-0.44054
6.4080,-0.44054
6.4250,-0.44054
6.4420,-0.44054
6.4590,-0.44054
6.4760,-0.44054
6.4930,-0.44054
6.5100,-0.44054
6.5260,-0.44054
6.5430,-0.44054
6.5600,-0.44054
6.5770,-0.44054
6.5940,-0.44054
6.6110,-0.44054
6.6290,-0.44054
6.6450,-0.44054
6.6620,-0.44054
6.6780,-0.44054
6.6950,-0.44054
6.7110,-0.44054
6.7290,-0.44054
6.7450,-0.44054
6.7620,-0.44054
6.7790,-0.44054
6.7950,-0.44054
6.8130,-0.44054
6.8300,-0.44054
6.8470,-0.44054
6.8640,-0.44054
6.8820,-0.44054
6.8980,-0.44054
6.9140,-0.44054
6.9300,-0.44054
6.9470,-0.44054
6.9630,-0.44054
6.9790,-0.44054
6.9960,-0.44054
7.0120,-0.44054
7.0290,-0.44054
7.0460,-0.44054
7.0620,-0.44054
7.0790,-0.44054
7.0950,-0.44054
7.1120,-0.44054
7.1290,-0.44054
7.1460,-0.44054
7.1630,-0.44054
7.1800,-0.44054
7.1970,-0.44054
7.2140,-0.44054
7.2300,-0.44054
7.2460,-0.44054
7.2630,-0.44054
7.2800,-0.44054
7.2970,-0.44054
7.3140,-0.44054
7.3320,-0.44054
7.3480,-0.44054
7.3650,-0.44054
7.3820,-0.44054
7.3980,-0.44054
7.4150,-0.44054
7.4320,-0.44054
7.4480,-0.44054
7.4650,-0.44054
7.4820,-0.44054
7.4990,-0.44054
7.5150,-0.44054
7.5320,-0.44054
7.5480,-0.44054
7.5640,-0.44054
7.5810,-0.44054
7.5970,-0.44054
7.6140,-0.44054
7.6300,-0.44054
7.6460,-0.44054
7.6620,-0.44054
7.6790,-0.44054
7.6950,-0.44054
7.7120,-0.44054
7.7290,-0.44054
7.7460,-0.44054
7.7630,-0.44054
7.7800,-0.44054
7.7970,-0.44054
7.8140,-0.44054
7.8300,-0.44054
7.8460,-0.44054
7.8630,-0.44054
7.8800,-0.44054
7.8970,-0.44054
7.9130,-0.44054
7.9300,-0.44054
7.9460,-0.44054
7.9620,-0.44054
7.9780,-0.44054
7.9940,-0.44054
8.0110,-0.44054
8.0270,-0.44054
8.0430,-0.44054
8.0600,-0.44054
8.0770,-0.44054
8.0940,-0.44054
8.1110,-0.44054
8.1270,-0.44054
8.1430,-0.44054
8.1590,-0.44054
8.1760,-0.44054
8.1930,-0.44054
8.2090,-0.44054
8.2260,-0.44054
8.2430,-0.44054
8.2600,-0.44054
8.2770,-0.44054
8.2930,-0.44054
8.3110,-0.44054
8.3270,-0.44054
8.3440,-0.44054
8.3610,-0.44054
8.3780,-0.44054
8.3940,-0.44054
8.4120,-0.44054
8.4280,-0.44054
8.4440,-0.44054
8.4610,-0.44054
8.4770,-0.44054
8.4940,-0.44054
8.5110,-0.44054
8.5280,-0.44054
8.5450,-0.44054
8.5630,-0.44054
8.5800,-0.44054
8.5970,-0.44054
8.6130,-0.44054
8.6290,-0.44054
8.6450,-0.44054
8.6620,-0.44054
8.6780,-0.44054
8.6940,-0.44054
8.7120,-0.44054
8.7300,-0.44054
8.7480,-0.44054
8.7640,-0.44054
8.7800,-0.44054
8.7960,-0.44054
8.8130,-0.44054
8.8310,-0.44054
8.8480,-0.44054
8.8640,-0.44054
8.8800,-0.44054
8.8960,-0.44054
8.9130,-0.44054
8.9300,-0.44054
8.9470,-0.44054
8.9630,-0.44054
8.9790,-0.44054
8.9960,-0.44054
9.0130,-0.44054
9.0290,-0.44054
9.0460,-0.44054
9.0620,-0.44054
9.0780,-0.44054
9.0940,-0.44054
9.1100,-0.44054
9.1270,-0.44054
9.1440,-0.44054
9.1610,-0.44054
9.1770,-0.44054
9.1930,-0.44054
9.2100,-0.44054
9.2270,-0.44054
9.2430,-0.44054
9.2590,-0.44054
9.2760,-0.44054
9.2920,-0.44054
9.3090,-0.44054
9.3260,-0.44054
9.3420,-0.44054
9.3590,-0.44054
9.3770,-0.44054
9.3940,-0.44054
9.4100,-0.44054
9.4270,-0.44054
9.4430,-0.44054
9.4600,-0.44054
9.4770,-0.44054
9.4940,-0.44054
9.5100,-0.44054
9.5270,-0.44054
9.5430,-0.44054
9.5590,-0.44054
9.5760,-0.44054
9.5930,-0.44054
9.6100,-0.44054
9.6260,-0.44054
9.6420,-0.44054
9.6600,-0.44054
9.6760,-0.44054
9.6930,-0.44054
9.7090,-0.44054
9.7250,-0.44054
9.7410,-0.44054
9.7580,-0.44054
9.7750,-0.44054
9.7920,-0.44054
9.8090,-0.44054
9.8260,-0.44054
9.8420,-0.44054
9.8590,-0.44054
9.8750,-0.44054
9.8920,-0.44054
9.9090,-0.44054
9.9260,-0.44054
9.9430,-0.44054
9.9600,-0.44054
9.9770,-0.44054
9.9940,-0.44054
10.0110,-0.44054
10.0290,-0.44054
10.0450,-0.44054
10.0620,-0.44054
10.0790,-0.44054
10.0960,-0.44054
10.1130,-0.44054
10.1290,-0.44054
10.1460,-0.44054
10.1630,-0.44054
10.1790,-0.44054
10.1960,-0.44054
10.2130,-0.44054
10.2290,-0.44054
10.2450,-0.44054
10.2620,-0.44054
10.2790,-0.44054
10.2950,-0.44054
10.3120,-0.44054
10.3280,-0.44054
10.3440,-0.44054
10.3600,-0.44054
10.3770,-0.44054
10.3940,-0.44054
10.4100,-0.44054
10.4270,-0.44054
10.4430,-0.44054
10.4590,-0.44054
10.4760,-0.44054
10.4930,-0.44054
10.5100,-0.44054
10.5270,-0.44054
10.5450,-0.44054
10.5620,-0.44054
10.5790,-0.44054
10.5950,-0.44054
10.6110,-0.44054
10.6280,-0.44054
10.6450,-0.44054
10.6620,-0.44054
10.6790,-0.44054
10.6950,-0.44054
10.7110,-0.44054
10.7280,-0.44054
10.7450,-0.44054
10.7620,-0.44054
10.7790,-0.44054
10.7950,-0.44054
10.8120,-0.44054
10.8290,-0.44054
10.8450,-0.44054
10.8610,-0.44054
10.8770,-0.44054
10.8930,-0.44054
10.9100,-0.44054
10.9270,-0.44054
10.9440,-0.44054
10.9610,-0.44054
10.9780,-0.44054
10.9960,-0.44054
11.0120,-0.44054
11.0290,-0.44054
11.0450,-0.44054
11.0620,-0.44054
11.0780,-0.44054
11.0950,-0.44054
11.1110,-0.44054
11.1280,-0.44054
11.1450,-0.44054
11.1620,-0.44054
11.1790,-0.44054
11.1960,-0.44054
11.2130,-0.44054
11.2300,-0.44054
11.2460,-0.44054
11.2630,-0.44054
11.2790,-0.44054
11.2970,-0.44054
11.3140,-0.44054
11.3310,-0.44054
11.3480,-0.44054
11.3640,-0.44054
11.3810,-0.44054
11.3970,-0.44054
11.4140,-0.44054
11.4310,-0.44054
11.4470,-0.44054
11.4640,-0.44054
11.4810,-0.44054
11.4970,-0.44054
11.5140,-0.44054
11.5310,-0.44054
11.5480,-0.44054
11.5650,-0.44054
11.5830,-0.44054
11.6000,-0.44054
11.6170,-0.44054
11.6340,-0.44054
11.6500,-0.44054
11.6670,-0.44054
11.6840,-0.44054
11.7000,-0.44054
11.7160,-0.44054
11.7330,-0.44054
11.7490,-0.44054
11.7660,-0.44054
11.7830,-0.44054
11.7990,-0.44054
11.8150,-0.44054
11.8310,-0.44054
11.8480,-0.44054
11.8640,-0.44054
11.8820,-0.44054
11.8990,-0.44054
11.9160,-0.44054
11.9320,-0.44054
11.9490,-0.44054
11.9650,-0.44054
11.9820,-0.44054
11.9990,-0.44054
12.0160,-0.44054
12.0340,-0.44054
12.0510,-0.44054
12.0680,-0.44054
12.0840,-0.44054
12.1010,-0.44054
12.1170,-0.44054
12.1340,-0.44054
12.1510,-0.44054
12.1680,-0.44054
12.1840,-0.44054
12.2010,-0.44054
12.2170,-0.44054
12.2330,-0.44054
12.2500,-0.44054
12.2660,-0.44054
12.2820,-0.44054
12.2990,-0.44054
12.3160,-0.44054
12.3340,-0.44054
12.3520,-0.44054
12.3680,-0.44054
12.3840,-0.44054
12.4010,-0.44054
12.4180,-0.44054
12.4350,-0.44054
12.4510,-0.44054
12.4680,-0.44054
12.4850,-0.44054
12.5010,-0.44054
12.5170,-0.44054
12.5340,-0.44054
12.5500,-0.44054
12.5670,-0.44054
12.5840,-0.44054
12.6000,-0.44054
12.6170,-0.44054
12.6330,-0.44054
12.6500,-0.44054
12.6670,-0.44054
12.6840,-0.44054
12.7000,-0.44054
12.7180,-0.44054
12.7360,-0.44054
12.7530,-0.44054
12.7700,-0.44054
12.7870,-0.44054
12.8030,-0.44054
12.8200,-0.44054
12.8360,-0.44054
12.8530,-0.44054
12.8700,-0.44054
12.8860,-0.45808
12.9020,-0.54565
12.9190,-0.54565
12.9350,-0.59434
12.9520,-0.59434
12.9680,-0.59434
12.9850,-0.59434
13.0010,-0.67805
13.0180,-0.67805
13.0340,-0.67805
13.0520,-0.69511
13.0680,-0.77897
13.0850,-0.77897
13.1020,-0.77897
13.1180,-0.80680
13.1350,-0.80680
13.1520,-0.80680
13.1690,-0.80680
13.1860,-0.81849
13.2020,-0.81849
13.2190,-0.81849
13.2360,-0.82694
13.2530,-0.82694
13.2690,-0.82694
13.2860,-0.82694
13.3030,-0.84002
13.3210,-0.83388
13.3380,-0.83388
13.3550,-0.81410
13.3710,-0.74482
13.3880,-0.74482
13.4040,-0.74482
13.4210,-0.74482
13.4370,-0.74482
13.4540,-0.74482
13.4710,-0.74482
13.4880,-0.57129
13.5060,-0.52639
13.5230,-0.52639
13.5390,-0.47697
13.5550,-0.47697
13.5720,-0.47697
13.5900,-0.47697
13.6070,-0.44054
13.6230,-0.44054
13.6400,-0.44054
13.6560,-0.44054
13.6720,-0.44054
13.6890,-0.44054
13.7060,-0.44054
13.7230,-0.44054
13.7400,-0.44054
13.7560,-0.44054
13.7720,-0.44054
