#,Thumb,Index,Middle,Ring,Pinky,ch15,ch16,ch17
2.8110,0.97126,0.89878,1.00000,1.00000,0.72361,0.33500,-0.09780,-0.90840
2.8270,0.96952,0.90278,1.00000,1.00000,0.71830,0.32450,-0.06860,-0.92130
2.8440,0.96952,0.90278,1.00000,1.00000,0.71830,0.32450,-0.06860,-0.92130
2.8610,0.96952,0.90278,1.00000,1.00000,0.71830,0.32450,-0.06860,-0.92130
2.8780,0.97091,0.90205,1.00000,1.00000,0.71748,0.34110,-0.09830,-0.89690
2.8950,0.97160,0.90060,1.00000,1.00000,0.71748,0.34260,-0.10760,-0.89940
2.9110,0.97160,0.90060,1.00000,1.00000,0.71748,0.34260,-0.10760,-0.89940
2.9280,0.97160,0.90060,1.00000,1.00000,0.71748,0.34260,-0.10760,-0.89940
2.9460,0.97681,0.89878,1.00000,1.00000,0.72115,0.33720,-0.06150,-0.90940
2.9630,0.97681,0.89878,1.00000,1.00000,0.72115,0.33720,-0.06150,-0.90940
2.9790,0.97681,0.89878,1.00000,1.00000,0.72115,0.33720,-0.06150,-0.90940
2.9950,0.97542,0.89951,1.00000,1.00000,0.72197,0.33650,-0.06730,-0.90940
3.0120,0.97681,0.89951,1.00000,1.00000,0.72400,0.34060,-0.07640,-0.91060
3.0290,0.97681,0.89951,1.00000,1.00000,0.72400,0.34060,-0.07640,-0.91060
3.0460,0.97681,0.89951,1.00000,1.00000,0.72400,0.34060,-0.07640,-0.91060
3.0630,0.97612,0.88945,1.00000,1.00000,0.72155,0.32500,-0.07440,-0.92160
3.0790,0.97854,0.88800,1.00000,1.00000,0.71992,0.32700,-0.06980,-0.90300
3.0960,0.97854,0.88800,1.00000,1.00000,0.71992,0.32700,-0.06980,-0.90300
3.1130,0.97854,0.88800,1.00000,1.00000,0.71992,0.32700,-0.06980,-0.90300
3.1300,0.98166,0.88618,1.00000,1.00000,0.72156,0.34060,-0.07660,-0.91090
3.1470,0.98166,0.88618,1.00000,1.00000,0.72156,0.34060,-0.07660,-0.91090
3.1630,0.98166,0.88618,1.00000,1.00000,0.72156,0.34060,-0.07660,-0.91090
3.1800,0.97994,0.88654,1.00000,1.00000,0.71952,0.34160,-0.07560,-0.91060
3.1970,0.97994,0.88654,1.00000,1.00000,0.71952,0.34160,-0.07560,-0.91060
3.2130,0.97994,0.88654,1.00000,1.00000,0.71952,0.34160,-0.07560,-0.91060
3.2290,0.97994,0.88654,1.00000,1.00000,0.71952,0.34160,-0.07560,-0.91060
3.2460,0.97439,0.88581,1.00000,1.00000,0.71380,0.34380,-0.08150,-0.90450
3.2630,0.97508,0.88144,1.00000,1.00000,0.70849,0.33550,-0.07170,-0.90300
3.2800,0.97508,0.88144,1.00000,1.00000,0.70849,0.33550,-0.07170,-0.90300
3.2960,0.97473,0.87852,1.00000,1.00000,0.70400,0.31890,-0.10440,-0.90500
3.3120,0.97577,0.87743,1.00000,1.00000,0.70359,0.33180,-0.10390,-0.89620
3.3290,0.97577,0.87743,1.00000,1.00000,0.70359,0.33180,-0.10390,-0.89620
3.3460,0.97577,0.87743,1.00000,1.00000,0.70359,0.33180,-0.10390,-0.89620
3.3630,0.96572,0.87561,1.00000,1.00000,0.69581,0.33570,-0.09610,-0.91160
3.3790,0.96572,0.87561,1.00000,1.00000,0.69581,0.33570,-0.09610,-0.91160
3.3960,0.96572,0.87561,1.00000,1.00000,0.69581,0.33570,-0.09610,-0.91160
3.4150,0.96155,0.87452,1.00000,1.00000,0.69089,0.35670,-0.06730,-0.89570
3.4320,0.96017,0.87415,1.00000,1.00000,0.68844,0.34010,-0.05200,-0.91040
3.4480,0.96017,0.87415,1.00000,1.00000,0.68844,0.34010,-0.05200,-0.91040
3.4650,0.96017,0.87415,1.00000,1.00000,0.68844,0.34010,-0.05200,-0.91040
3.4810,0.96190,0.86723,1.00000,1.00000,0.68517,0.33700,-0.07590,-0.91570
3.4980,0.96156,0.86650,1.00000,1.00000,0.68353,0.32820,-0.07150,-0.90430
3.5140,0.96156,0.86650,1.00000,1.00000,0.68353,0.32820,-0.07150,-0.90430
3.5310,0.96156,0.86650,1.00000,1.00000,0.68353,0.32820,-0.07150,-0.90430
3.5480,0.95774,0.86686,1.00000,1.00000,0.67614,0.32650,-0.08590,-0.92350
3.5640,0.95774,0.86686,1.00000,1.00000,0.67614,0.32650,-0.08590,-0.92350
3.5810,0.95774,0.86686,1.00000,1.00000,0.67614,0.32650,-0.08590,-0.92350
3.5970,0.95463,0.86723,1.00000,1.00000,0.67532,0.33160,-0.07000,-0.93110
3.6140,0.95290,0.86468,1.00000,1.00000,0.67368,0.36110,-0.09910,-0.90080
3.6310,0.95290,0.86468,1.00000,1.00000,0.67368,0.36110,-0.09910,-0.90080
3.6480,0.95290,0.86468,1.00000,1.00000,0.67368,0.36110,-0.09910,-0.90080
3.6650,0.95950,0.85993,1.00000,1.00000,0.67532,0.34140,-0.07690,-0.91890
3.6820,0.95950,0.85993,1.00000,1.00000,0.67532,0.34140,-0.07690,-0.91890
3.6980,0.95950,0.85993,1.00000,1.00000,0.67532,0.34140,-0.07690,-0.91890
3.7150,0.95846,0.85775,1.00000,1.00000,0.67369,0.34750,-0.07340,-0.89890
3.7320,0.95672,0.85446,1.00000,1.00000,0.67040,0.34430,-0.08690,-0.91380
3.7500,0.95672,0.85446,1.00000,1.00000,0.67040,0.34430,-0.08690,-0.91380
3.7670,0.95672,0.85446,1.00000,1.00000,0.67040,0.34430,-0.08690,-0.91380
3.7840,0.95429,0.85737,1.00000,1.00000,0.66630,0.33350,-0.06590,-0.90400
3.8010,0.95429,0.85737,1.00000,1.00000,0.66630,0.33350,-0.06590,-0.90400
3.8170,0.95429,0.85737,1.00000,1.00000,0.66630,0.33350,-0.06590,-0.90400
3.8340,0.95429,0.85737,1.00000,1.00000,0.66630,0.33350,-0.06590,-0.90400
3.8500,0.95949,0.85482,1.00000,1.00000,0.66630,0.34010,-0.08250,-0.90060
3.8670,0.95949,0.85482,1.00000,1.00000,0.66630,0.34010,-0.08250,-0.90060
3.8840,0.95949,0.85482,1.00000,1.00000,0.66630,0.34010,-0.08250,-0.90060
3.9000,0.95602,0.85591,1.00000,1.00000,0.65974,0.34090,-0.08050,-0.89690
3.9160,0.95947,0.85591,1.00000,1.00000,0.66015,0.34570,-0.10100,-0.89430
3.9330,0.95947,0.85591,1.00000,1.00000,0.66015,0.34570,-0.10100,-0.89430
3.9500,0.95947,0.85591,1.00000,1.00000,0.66015,0.34570,-0.10100,-0.89430
